pais_iso,pais,indicador_code,indicador,anio,valor
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),1983,9.15
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),1982,9.09
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),1981,6.92
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),1980,5.06
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),1979,6.51
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),1978,8.61
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),1977,9.62
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),1976,9.18
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),1975,5.82
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),1974,6.9
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),1973,7.61
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),1972,7.2
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),1971,6.01
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),1970,5.6
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),1969,6.4
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),1968,6.48
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),1967,7.5
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),1966,6.65
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),1965,6.23
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),1964,5.56
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),1963,7.89
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),1962,4.69
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),1961,5.99
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),1960,7.6
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),2023,13.85
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),2022,15.3
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),2021,15.01
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),2020,13.6
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),2019,14.71
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),2018,16.33
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),2017,13.97
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),2016,13.57
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),2015,11.78
ARG,Argentina,NE.IMP.GNFS.ZS,Importaciones (% PIB),2014,14.0
